descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,Input required (kg),P_dqr,TiR_dqr,TeR_dqr,GR_dqr
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/WOMENS_BOOTS#GLO@WORLD,"Women's Boots Assembly, Global average electricity",0.0056126586103922,7.10991447645336,16.849602172398328,0.0004846266380377,1.1540365694016246,4.04282115943614e-10,7.717540382098042e-09,0.127197634674877,2.40356701835037,2.9224588381947947e-06,3.496850532091597e-08,0.0039414465671592,6.72122492048703e-08,0.00170051341837,0.012390456047129,0.2825410515226095,1.048607,1.31,2.15,2.15,2.15
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/WOMENS_BOOTS#CN@WORLD,"Women's Boots Assembly, China electricity",0.0076713330550988,8.337686792926984,16.87304712243925,0.0002675491228457,1.3768689430194472,3.979162975984811e-10,8.951281074023108e-09,0.060578459260324,3.0471035875864287,2.887702315206989e-06,3.188764759675859e-08,0.0051729669396589,1.174660714427268e-07,0.0021694679870571,0.0179786628769376,0.2052722958606477,1.048607,1.29,2.14,2.14,2.14
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/WOMENS_BOOTS#IT@WORLD,"Women's Boots Assembly, Italy electricity",0.0031432211140063,5.631029714074524,13.84183827066513,0.0002181441400031,0.8068809600046466,3.725387907447628e-10,4.704216015030587e-09,0.0769714244833263,2.008399199059742,3.0564926970950832e-06,4.2305552535964456e-08,0.0026854258524033,3.2136498922653055e-08,0.0011502253837452,0.0069985460457825,0.3049276207733106,1.048607,1.36,2.18,2.18,2.18
