Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Women's Boots Assembly, Global average electricity",Lasting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.0,unit,1.0165629733261752,88.08758701792986,1.1540365762536529
"Women's Boots Assembly, Global average electricity",Stitching – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.004,unit,0.0761621778188258,6.599632922040563,1.1540365762536529
"Women's Boots Assembly, Global average electricity",Cutting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.010024,unit,0.0613114251086519,5.312780060029562,1.1540365762536529
"Women's Boots Assembly, China electricity",Lasting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.0,unit,1.219045751650294,88.53752916672266,1.3768689539039893
"Women's Boots Assembly, China electricity",Stitching – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.004,unit,0.0931032363079425,6.761953346682452,1.3768689539039893
"Women's Boots Assembly, China electricity",Cutting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.010024,unit,0.064719965945753,4.700517486594884,1.3768689539039893
"Women's Boots Assembly, Italy electricity",Lasting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.0,unit,0.701110465084955,86.89143686040207,0.80688096597061
"Women's Boots Assembly, Italy electricity",Cutting – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.010024,unit,0.0560011820387926,6.94045149168043,0.80688096597061
"Women's Boots Assembly, Italy electricity",Stitching – Shoe Assembly (PU/Microfiber Upper + TPR/EVA/Rubber Outsole) – Women's Boots,1.004,unit,0.0497693188468624,6.168111647917495,0.80688096597061
