descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/SNEAKER_SHOE#VN@WORLD,"Sneaker Shoe Assembly, Vietnam electricity",0.0114351686021285,10.889391417502358,24.940980406436623,0.0005952136520995,1.664129261392624,4.2071720549379046e-10,2.3311705811536065e-08,0.0275627517948615,5.850463670566405,8.76654169149384e-06,5.2530512491542086e-08,0.1000031611394932,8.379315820660771e-09,0.0021537276417515,0.0219082955291897,0.4135622633168502,2.17,2.17,2.26,2.52
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/SNEAKER_SHOE#GLO@WORLD,"Sneaker Shoe Assembly, Global average electricity",0.009755963797855234,11.971131564459075,30.167066067484512,0.0006846551397349732,1.9048420785139655,4.678657397208517e-10,2.5184501217232303e-08,0.15271384224116782,6.145864472888127,8.936334139302648e-06,5.5202612471349195e-08,0.10017052248047292,4.306450982434313e-08,0.0022297956669404444,0.0224036739815818,0.593070055290317,2.26,2.2,2.42,2.92
