Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/pair),Contribution (%),Total Activity Impact (kgCO2eq/pair)
"Sneaker Shoe Assembly, Vietnam electricity",market for carbon black,0.00010752809569202301,kilogram,0.00025959726662824463,0.017329227810542136,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methyl methacrylate,2.29e-05,kilogram,0.00015179295457026052,0.010132828915915557,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methylene diphenyl diisocyanate,2.6e-05,kilogram,0.00014910114228599484,0.009953138933416409,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for polyethylene, low density, fines",0.000155,kilogram,5.080078855614137e-05,0.0033911699043628275,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for kaolin,0.00025,kilogram,5.0708395616695636e-05,0.003385002280502467,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for silica sand,0.0005,kilogram,2.1212570609088242e-05,0.0014160298115099856,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for water, deionised",0.01164508255695837,kilogram,5.570226999196393e-06,0.0003718364753190526,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for water, decarbonised",0.01975,kilogram,1.9259617772192443e-06,0.00012856618571267185,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","treatment of municipal solid waste, open dump, hyperarid infiltration class (-250mm)",0.006,kilogram,-0.004703964908916883,-0.3140097759047347,1.6641292613878578
"Sneaker Shoe Assembly, Global average electricity",market for methyl ethyl ketone,0.040845,kilogram,0.28154148637407184,33.21174114617113,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for vinyl acetate,0.03025,kilogram,0.1332317210937415,15.716537873019169,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for ethyl acetate,0.028061,kilogram,0.11095556786246785,13.08875521697918,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market group for electricity, medium voltage",0.10134464285714286,kilowatt hour,0.06946754235828655,8.194664539771228,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for oxalic acid,0.003,kilogram,0.05215896647553349,6.152876847199769,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for corrugated board box,0.02724,kilogram,0.03550803692554026,4.188667702822548,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for polyurethane adhesive,0.00562,kilogram,0.02994533392783409,3.532469376912659,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for polyurethane, flexible foam",0.00483857276126313,kilogram,0.029717125562456603,3.505549020499403,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for acetone, liquid",0.0078275,kilogram,0.022252382591631932,2.6249785778885664,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for methylcyclohexane,0.0060961999999999995,kilogram,0.01565480236182056,1.8467020631000488,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for rosin size, for paper production",0.0028875,kilogram,0.009754490190831303,1.1506780311599205,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for synthetic rubber,0.0028875,kilogram,0.009173147826691921,1.0821005992376944,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for polyethylene, low density, granulate",0.0022900000000000004,kilogram,0.007564154592015685,0.8922974284715655,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for propylene glycol, liquid",0.0013249999999999998,kilogram,0.006392568890267245,0.7540925707855977,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for lubricating oil,0.00258,kilogram,0.004439978168766791,0.5237572889695222,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for polyurethane, rigid foam",0.00075,kilogram,0.004378358654414693,0.5164884086827443,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for chemical, organic, unspecified",0.0010365,kilogram,0.004018985641599213,0.4740953545355153,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for toluene diisocyanate,0.0004905,kilogram,0.0034695247027323357,0.40927878094062836,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","hexamethylene-1,6-diisocyanate production",0.0006035000000000001,kilogram,0.0031152918952704932,0.3674920856353654,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for brass,0.0005,kilogram,0.002874526515023646,0.3390904543564373,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for methyl acetate,0.0008590000000000001,kilogram,0.0027587156833224144,0.3254289531193737,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity","market for flat glass, coated",0.0021,kilogram,0.0023017092575381105,0.2715186775476988,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for butyl acrylate,0.00027842436746909,kilogram,0.001476707140161054,0.1741981827238382,1.013814640894939
"Sneaker Shoe Assembly, Global average electricity",market for silicone product,0.00036,kilogram,0.0012595082779448372,0.14857655060819486,1.013814640894939
