descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/BATCH/BEAM#NATURAL_FIBERS@WORLD,"Fabric dyeing, Exhaust, Beam, Reactive, Cellulosic Fibers, Medium Shade",0.016951683,1344.6950727024778,54.33419463834385,0.001039431,4.105295643787422,3.756693851170767e-08,3.943873256954023e-06,0.15378758827913463,12.495447698692747,1.5109077004589402e-05,6.219654031047557e-08,0.011770201428499204,2.0601012739183452e-07,0.004942383,0.032164525807841654,1.4717587044118807,2.21,2.17,2.21,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/BATCH/SOFTFLOW_JET#NATURAL_FIBERS@WORLD,"Fabric dyeing, Exhaust, Softflow jet, Reactive, Cellulosic Fibers, Medium Shade",0.014982163195189396,932.8376538672771,58.37026090256596,0.000870876,4.001597083425285,2.611090832440819e-08,2.720002444649766e-06,0.12839267166238455,15.211490292855895,1.62145805110587e-05,6.869793022185215e-08,0.013034931720930126,1.8464880088068913e-07,0.004765494,0.030292997923531524,1.4533151411841398,2.51,2.16,2.51,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/VAT/BATCH/PACKAGE#NATURAL_FIBERS@WORLD,"Yarn dyeing, Exhaust, Package, Vat, Cellulosic Fibers, Medium Shade",0.023739118,834.9142294457636,75.35275276490324,0.00167614,5.4308505704635825,2.388179993450565e-08,2.20298869980766e-06,0.32258762,30.647244875399284,5.4250333194312585e-05,2.7327998742697e-05,0.017536210361801686,2.6590444903219187e-07,0.007070137,0.049225151127515396,3.9850071550361403,2.52,2.21,2.52,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/REACTIVE/BATCH/PACKAGE#NATURAL_FIBERS@WORLD,"Yarn dyeing, Exhaust, Package, Reactive, Cellulosic Fibers, Medium Shade",0.025677167609956753,834.0850771050625,75.83620237939718,0.001721124,5.512568087049239,2.4018797209012738e-08,2.211519820909097e-06,0.3190281011206003,31.922382850952253,6.082360425908558e-05,2.73258445781761e-05,0.018159772,2.9013855899154147e-07,0.007418988,0.054167940196361446,4.193922209958713,2.47,2.16,2.47,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/DISPERSE/CONTINUOUS/THERMOSOL#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Continuous, Thermosol, Disperse, Synthetic Fibers, Medium Shade",0.013286624215117851,253.9235982204804,40.876674171019346,0.000849559,3.109423191291975,7.486597084663759e-09,7.425058269004326e-07,0.18025018751260158,5.213019979924875,1.0899068601205815e-05,3.506756731559518e-08,0.008534019,1.4604088550502265e-07,0.002670601,0.023454287,0.5273077308263856,2.06,2.06,2.06,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/DISPERSE/BATCH/AIRFLOW_JET#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Airflow jet, Disperse, Synthetic Fibers, Medium Shade",0.010860651027782206,258.3831118245403,31.35216920289094,0.000723443,2.3522734961501675,7.802677064642855e-09,7.460683767080916e-07,0.14737673571180623,5.0701474229068095,1.2231177132801132e-05,2.9192992131477684e-08,0.006809441,1.1388652245489135e-07,0.002381088,0.018790372768487752,0.5385269453446947,2.12,2.12,2.12,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/BATCH/SOFTFLOW_JET#WOOL_AND_SILK@WORLD,"Fabric dyeing, Exhaust, Softflow jet, Acid, Animal Fibers, Medium Shade",0.017374816,1043.4623112389704,69.43685760287896,0.001089705,4.704150814613323,3.010561743232028e-08,3.010983811648246e-06,0.16381776231168735,15.85989913842695,1.6596190336251885e-05,8.552938980726321e-08,0.015304866110030632,2.071558766046963e-07,0.005436982,0.033527462,1.4852345838068066,2.52,2.19,2.52,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/BATCH/SOFTFLOW_JET#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Softflow jet, Acid, Synthetic Fibers, Medium Shade",0.011863558554993645,840.7236875792623,48.22073144650223,0.000793529,3.192426092847706,2.417732848189487e-08,2.4280671108640685e-06,0.11992799851419446,12.058571197861193,1.2773845784183668e-05,6.201795448430938e-08,0.010825574065147467,1.3957899413055437e-07,0.004024773,0.0234549,1.1570109668038109,2.59,2.2,2.59,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/BATCH/AIRFLOW_JET#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Airflow jet, Acid, Synthetic Fibers, Medium Shade",0.009234671,349.3314332527514,28.23763572923057,0.000693834,2.048473209152737,1.0570352049875526e-08,9.878558891494165e-07,0.14462459670551217,5.217874515327072,9.826809097403002e-06,3.095640626174784e-08,0.006259745,9.680402323184291e-08,0.002346426,0.017388747340564843,0.5710816789018082,2.22,2.22,2.22,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/BATCH/AIRFLOW_JET#NATURAL_FIBERS@WORLD,"Fabric dyeing, Exhaust, Airflow jet, Reactive, Cellulosic Fibers, Medium Shade",0.011453171988017681,982.0572524007804,33.27311770493927,0.00086463,2.508036480267519,2.7470365999308012e-08,2.896320917202126e-06,0.15991553852840432,7.078901987228221,1.436380946498711e-05,3.790402805179664e-08,0.007432427,1.2574036125231468e-07,0.00337018,0.020940211,0.9451768354326744,2.2,2.2,2.2,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/VAT/BATCH/HANK#NATURAL_FIBERS@WORLD,"Yarn dyeing, Exhaust, Hank, Vat, Cellulosic Fibers, Medium Shade",0.039692286485074904,1391.605499,125.11600545180619,0.002845347,9.008712729143943,3.9798211071407804e-08,3.6724452820563547e-06,0.555244025,51.27164445211954,9.122125807769965e-05,4.5545520846734766e-05,0.029211334904528926,4.414697521937082e-07,0.011835475051495644,0.082530016,6.6727983187992255,2.52,2.21,2.52,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/BATCH/CONVENTIONAL_JET#NATURAL_FIBERS@WORLD,"Fabric dyeing, Exhaust, Conventional jet, Reactive, Cellulosic Fibers, Medium Shade",0.026560506508841102,1852.7328864031078,76.61154463,0.001781636,5.575466883875469,5.220599119478232e-08,5.445392177277967e-06,0.30949847524878815,25.68087256829341,5.010343340953601e-05,9.021577579381723e-08,0.018120156,2.9136538302069156e-07,0.007923032,0.048030645,2.698464899386485,2.3,2.16,2.3,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/VAT/CONTINUOUS/PAD_STEAM#NATURAL_FIBERS@WORLD,"Fabric dyeing, Continuous, Pad steam, Vat, Cellulosic Fibers, Medium Shade",0.015625005571180905,400.0849719751315,48.52609257405301,0.001095622,3.650919720438751,1.127645682145721e-08,1.1043049700701705e-06,0.23625671332393366,6.797973956780139,1.5131815356943976e-05,5.02175041090436e-08,0.010207253414108095,1.7216951614776869e-07,0.003536225,0.028984694890033733,0.7794055972638246,2.17,2.17,2.17,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/ACID/BATCH/HANK#SYNTHETIC_FIBERS@WORLD,"Yarn dyeing, Exhaust, Hank, Acid, Synthetic Fibers, Medium Shade",0.018502747859218474,610.6729254,54.24930280069344,0.001446721,4.033371526659011,1.802444793586989e-08,1.7590660233540866e-06,0.3277258648493656,12.775669399963938,2.163827850724737e-05,5.02765979145953e-08,0.012123801286036906,1.920244590253373e-07,0.004677598,0.035930735,1.293892408130519,2.15,2.15,2.15,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/SEMI-CONTINUOUS/CPB#NATURAL_FIBERS@WORLD,"Fabric dyeing, Semi-continuous, CPB, Reactive, Cellulosic Fibers, Medium Shade",0.012552278150327896,253.94928259134386,37.866080921277536,0.000860371,2.8286646698501205,7.369334863731352e-09,7.397114858041304e-07,0.18279758765865065,5.410693055510593,1.1589810570972768e-05,3.351129704927199e-08,0.008023173,1.3693643963275323e-07,0.002694252,0.023619313,0.7820490681127448,2.13,2.13,2.13,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/BATCH/BEAM#WOOL_AND_SILK@WORLD,"Fabric dyeing, Exhaust, Beam, Acid, Animal Fibers, Medium Shade",0.020897831,1355.406616124915,66.99006141857014,0.001319426,5.029195825060874,3.841091120057995e-08,3.9490737165605765e-06,0.2220429334862823,14.00769564380223,1.848943702598009e-05,7.400847556166892e-08,0.014407556026596548,2.459409297976989e-07,0.005640077,0.039556755064876284,1.6044457530029843,2.19,2.19,2.19,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FIBER/ACID/BATCH/PACKAGE#SYNTHETIC_FIBERS@WORLD,"Fiber dyeing, Exhaust, Package, Acid, Synthetic Fibers, Medium Shade",0.016890269127422818,156.61312894681186,47.644744614742336,0.00125623,3.5964467566892364,4.99894492819667e-09,4.4399850688194737e-07,0.30049528320729924,9.136859368251159,1.8414445378167032e-05,3.6919301010776186e-08,0.010455589126139227,1.7262334927297973e-07,0.003454344,0.031432817,0.8649085732758564,2.07,2.07,2.07,3,1.092
