descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/POLYAMIDE?DTEX=370@WORLD,"Spinning to yarn, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), 370 dtex, Open-End (Rotor)",0.0058396235294739,2.984734583292384,15.623248535543867,0.0005480705626008,1.1779007036932576,1.4303877102034508e-10,6.9884364692928384e-09,0.1524959726817344,2.312408210365075,1.314385306877099e-06,7.709620097628058e-09,0.0035488528734811,5.630032163103806e-08,0.0011980973735229,0.0120522829100756,0.2872732771539629,2.03,2.03,2.03,3.0,1.0394
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WOOLEN?DTEX=170@WORLD,"Spinning to yarn, Woollen Wool, 170 dtex, Ring Spinning",0.0133819617159242,7.147423401836683,37.932772681736296,0.0012482923956042,2.8517069773013293,3.5337363231522537e-10,1.665837664473253e-08,0.343120065395584,5.404805067489519,3.566568410751141e-06,2.0733448022366496e-08,0.0095028655825336,1.293592032206057e-07,0.0027422116025791,0.0275510141679369,0.6612725350919875,2.11,2.11,2.11,3.0,1.25
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#ANIMAL_FIBERS/SILK?DTEX=70@WORLD,"Spinning to yarn, Spun Silk, 70 dtex, Open-End (Rotor)",0.0377118229913744,18.81700640452659,100.00547010708443,0.0035450856994869,7.5494781734044,8.490976775415978e-10,4.443082612731349e-08,0.9954846529635958,14.479055503851264,7.642016848654891e-06,4.735352808174058e-08,0.0224134503308302,3.568443845204171e-07,0.007730152024375,0.077374244247433,1.8420897229797983,2.0,2.0,2.0,3.0,1.3096
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYAMIDE?DTEX=200@WORLD,"Spinning to yarn, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), 200 dtex, Ring Spinning",0.0179862427948134,9.005714815182206,47.67973925586198,0.0016904002633918,3.599083003111602,4.1131392452112303e-10,2.1231049366750932e-08,0.4739808990069677,6.949025046167428,3.7071087739657103e-06,2.2676782752298773e-08,0.0106769518440821,1.708414227512042e-07,0.0036875026699679,0.0369541833355093,0.8796921753091012,2.01,2.01,2.01,3.0,1.0627
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/SILK?DTEX=170@WORLD,"Spinning to yarn, Spun Silk, 170 dtex, Ring Spinning",0.025427381853232,12.703103654130969,67.38720986919274,0.0023900750272146,5.08712538722918,5.762325101622285e-10,2.99746036487395e-08,0.6707686418637125,9.790059703934537,5.186446134607583e-06,3.1942617645394846e-08,0.0150856560872512,2.4101146195989333e-07,0.0052125139112886,0.05220474953005,1.242696214585901,2.0,2.0,2.0,3.0,2.2477
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYAMIDE?DTEX=300@WORLD,"Spinning to yarn, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), 300 dtex, Ring Spinning",0.0118629197130389,5.963128698534596,31.462435885023385,0.001114636984139,2.374570976849222,2.7560220444168334e-10,1.4035967098541934e-08,0.3120440059956177,4.61111383830674,2.489760121939031e-06,1.5051915088206253e-08,0.0070490233494728,1.1309840559840898e-07,0.0024325689228269,0.0244044724468612,0.5809756761161292,2.01,2.01,2.01,3.0,1.0546
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#CELLULOSE_BASED_FIBERS/MMCF?DTEX=150@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 150 dtex, Open-End (Rotor)",0.0121442308573932,6.115452632553667,32.30796902941211,0.0011409391036761,2.4377786960711507,2.826280340258304e-10,1.4392946106183628e-08,0.3192695854659774,4.718557451916409,2.56403347480784e-06,1.554140947935646e-08,0.007276066793529,1.1574805284889377e-07,0.0024902108606203,0.0249735756150089,0.5948258493935902,2.01,2.01,2.01,3.0,1.1291
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/POLYAMIDE?DTEX=330@WORLD,"Spinning to yarn, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), 330 dtex, Open-End (Rotor)",0.0065270846836852,3.3278799402174197,17.454117569224447,0.0006126635131676,1.3160848966050038,1.5838724994787494e-10,7.799092777871326e-09,0.1706425193346136,2.575654048976542,1.4540487719763452e-06,8.580711853525148e-09,0.0039626549098006,6.278692839445158e-08,0.0013389664936362,0.013461197345054,0.3208160381844122,2.03,2.03,2.03,3.0,1.0418
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#SYNTHETIC_FIBERS/POLYESTER?DTEX=300@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 300 dtex, Ring Spinning",0.0091184341319699,4.663350241379429,24.61120357451577,0.0008546245436736,1.854862345547874,2.1938444519714247e-10,1.0928958046681226e-08,0.2380675559341274,3.5948660311429954,2.0670378469587305e-06,1.2252621157770223e-08,0.005689791555831,8.737552709916076e-08,0.0018692261001956,0.0187783226882696,0.4473396540889853,2.04,2.04,2.04,3.0,1.0546
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/FOR_WOVEN/RING#PLANT_FIBERS/COTTON?DTEX=200@WORLD,"Spinning to yarn, Coton Combed - Weaving, 200 dtex, Ring Spinning",0.01321877862644,6.700292701976658,35.11753608269032,0.0012441727990034,2.6528037112245233,3.2284722605557223e-10,1.5766947943507374e-08,0.3468038545084216,5.16125829994565,2.828401527665718e-06,1.6861984107358862e-08,0.0078819642547866,1.269017577963696e-07,0.002713774421785,0.0272239937918421,0.651853113351976,2.02,2.02,2.02,3.0,1.2079
