Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002331796378249587,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.013756279459249557,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)","market group for heat, district or industrial, natural gas",7.25,megajoule,0.3084904813939174,49.71863725346306,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)","market group for electricity, medium voltage",0.351,kilowatt hour,0.24059591751943757,38.77624065988085,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,4.596493849993009,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,2.739779616035175,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",market for building machine,4.64e-07,unit,0.014710388877678216,2.3708364846847485,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)","building construction, hall",2.04e-05,square meter,0.007958165384371845,1.2825975575026338,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.3567979131910636,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.10964033281201323,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.06781744674668404,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.003845805022611049,0.6204725198344612
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (POY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.022688073937457885,0.6204725198344612
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning","market group for electricity, medium voltage",1.5,kilowatt hour,1.028187681724076,91.19915776054309,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning","building construction, hall",8.96e-05,square meter,0.034953510718021906,3.100339359164946,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.529692110103015,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",lubricating oil production,0.01,kilogram,0.016999579621524374,1.5078446973481299,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",market for building machine,4.64e-07,unit,0.014710388877678216,1.3047959043087802,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.1963646412584729,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",market group for tap water,2.0,kilogram,0.0016831544828661772,0.14929401892938804,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.06034083671493228,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002116548599909149,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Dry Spinning","market for wastewater, average",0.002,cubic meter,-0.0005630930562466024,-0.04994575735860789,1.1274091855362691
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",1.072,kilowatt hour,0.7348114631783959,63.255075313283896,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",8.31,megajoule,0.3535939172906593,30.438569605043863,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.455097191721181,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,1.463381755916659,1.161664039666524
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,1.266320414110528,1.161664039666524
