descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU
MATERIAL:NATURAL_RUBBER/STR#ANY@TH,STR production [TH],0.014276024251417389,37.205628745329,20.87082467817683,0.0007365549029505392,2.986460751367609,3.6910658566205424e-09,1.0035694661932781e-07,0.04682584847901286,8.944010137003467,2.1216200119507247e-05,2.2626153972328888e-07,0.02025677305032279,9.93995300343292e-08,0.0047013063227423525,0.05119430108048144,0.9591281028669625
MATERIAL:NATURAL_RUBBER/STR#ANY@ID,STR production [ID],0.017687431053650993,42.91180457660249,24.293368661006575,0.0011862450938903949,6.592969617731839,4.474821026239265e-09,1.217057559013476e-07,0.054603935968066196,10.361196758564237,2.5344039160730187e-05,2.662007395262301e-07,0.024516777978883478,1.352018273569733e-07,0.005721797057269707,0.06246182920333363,1.170144806284288
MATERIAL:NATURAL_RUBBER/STR#ANY@CI,STR production [CI],0.010581051716521411,30.10702856746384,16.804994175902554,0.0005281097595110212,5.360121846368074,2.6850275112599632e-09,7.399703325476072e-08,0.03637706125822678,7.080377692139651,1.5724216021363758e-05,1.6740875954413633e-07,0.015214761280085785,7.554795045373862e-08,0.003617518681015989,0.038389847279758846,0.6985535243158021
MATERIAL:NATURAL_RUBBER/STR#ANY@VN,STR production [VN],0.013146980148571357,33.57732764815388,17.91342095287358,0.0006411629489614363,3.7446226527642144,3.1820337851607537e-09,8.725264313262305e-08,0.04151347324116038,8.183558422631872,1.8409549896587174e-05,1.9350049452228165e-07,0.01781771417705905,8.825958324148972e-08,0.004222665269236758,0.04552641107957431,0.8198448954371101
