descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,Input required (kg),P_dqr,TiR_dqr,TeR_dqr,GR_dqr
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/COLLECTIVE_SHOE#GLO@WORLD,"Collective Shoe Assembly, Global average electricity",0.005617352626022357,7.112729233114929,16.860719827505953,0.0004846960030121583,1.2024962619408195,4.0444142668152826e-10,7.806442444071592e-09,0.12720596983030363,2.4338844422631345,2.924486616243362e-06,3.498183290793905e-08,0.003966183726784602,6.732639363183385e-08,0.001702484360083885,0.01241178307316532,0.2825951412403537,1.048607,1.31,2.15,2.15,2.15
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/COLLECTIVE_SHOE#CN@WORLD,"Collective Shoe Assembly, China electricity",0.0076760270679723155,8.340501546739912,16.884164774564095,0.0002676184876585405,1.4253286353093673,3.9807560805709685e-10,9.040183122881916e-09,0.06058679440173283,3.077421108508153,2.889730074570637e-06,3.1900975180295507e-08,0.005197704097915807,1.1758021583663462e-07,0.0021714389283926543,0.017999989896504816,0.2053263854920289,1.048607,1.29,2.14,2.14,2.14
PRODUCT_PROCESS_STEP:FOOTWEAR_ASSEMBLY/COLLECTIVE_SHOE#IT@WORLD,"Collective Shoe Assembly, Italy electricity",0.00314791513007312,5.633844471158574,13.852955926162892,0.00021821350500736867,0.8553406525698066,3.7269810153305563e-10,4.793118080653927e-09,0.07697975964011156,2.038716614015849,3.0585204792977205e-06,4.2318880123685403e-08,0.0027101630122388478,3.2250643352961135e-08,0.0011521963255079174,0.007019873072399171,0.3049817104997747,1.048607,1.36,2.18,2.18,2.18
